round,validator,crypto,behavior,latency,sensor,effective
1,A,100,11,0,100,58
1,B,100,6,0,100,56
1,C,100,16,17,100,62
1,D,100,0,17,100,57
2,A,100,0,0,100,55
2,B,100,0,0,100,55
2,C,100,22,25,90,63
2,D,100,6,14,100,58
3,A,100,6,0,100,56
3,B,100,6,2,100,57
3,C,100,28,30,91,66
3,D,100,12,10,100,60
4,A,100,12,0,100,58
4,B,100,12,5,100,59
4,C,100,34,28,92,68
4,D,100,18,9,100,61
5,A,100,0,0,100,55
5,B,100,0,10,100,56
5,C,100,40,29,93,70
5,D,100,24,10,100,63
6,A,100,0,6,100,55
6,B,100,0,3,100,55
6,C,100,46,33,94,72
6,D,100,30,12,100,65
7,A,100,6,3,100,57
7,B,100,0,11,100,56
7,C,100,52,31,84,72
7,D,100,36,9,100,67
8,A,100,0,0,100,55
8,B,100,0,17,100,57
8,C,100,58,34,85,75
8,D,100,7,9,100,58
9,A,100,6,3,100,57
9,B,100,6,21,100,59
9,C,100,64,38,86,77
9,D,100,13,11,100,60
10,A,100,12,0,100,58
10,B,100,12,18,100,61
10,C,100,70,47,87,81
10,D,100,19,12,100,62
11,A,100,0,5,100,55
11,B,100,18,10,100,61
11,C,100,41,46,88,72
11,D,100,25,15,100,64
12,A,100,6,0,100,56
12,B,100,24,4,100,62
12,C,100,12,52,89,64
12,D,100,31,9,100,65
13,A,100,0,4,100,55
13,B,100,30,7,100,65
13,C,100,18,53,90,66
13,D,100,37,9,100,67
14,A,85,6,0,100,50
14,B,100,36,6,100,66
14,C,100,0,54,91,61
14,D,100,43,14,100,70
15,A,70,12,2,100,46
15,B,100,7,0,100,57
15,C,100,6,56,92,64
15,D,100,49,8,100,70
16,A,71,18,0,100,48
16,B,100,13,0,100,58
16,C,100,12,48,93,64
16,D,100,55,4,100,72
17,A,72,24,1,100,51
17,B,100,19,1,100,60
17,C,100,18,50,94,67
17,D,100,61,2,100,73
18,A,73,30,5,100,53
18,B,100,25,0,100,62
18,C,100,0,42,95,60
18,D,100,32,4,100,65
19,A,74,36,0,100,55
19,B,100,31,0,100,64
19,C,100,6,41,96,62
19,D,100,38,3,100,66
20,A,75,42,5,100,58
20,B,100,37,0,100,66
20,C,100,12,41,97,64
20,D,100,9,2,100,58
21,A,76,48,7,100,60
21,B,100,43,0,100,67
21,C,100,0,40,98,60
21,D,100,15,8,100,60
22,A,77,54,6,100,62
22,B,100,49,3,100,70
22,C,100,6,36,99,62
22,D,100,21,3,100,61
23,A,78,25,3,100,54
23,B,100,55,8,100,72
23,C,100,12,35,100,63
23,D,100,27,3,100,63
24,A,79,31,0,100,55
24,B,100,26,11,100,64
24,C,100,18,38,100,66
24,D,100,33,5,100,65
25,A,80,37,0,100,58
25,B,100,0,11,100,56
25,C,100,24,41,100,68
25,D,85,39,5,100,61
26,A,81,43,0,100,60
26,B,100,0,10,100,56
26,C,100,30,45,100,70
26,D,86,45,8,100,64
27,A,82,49,0,100,62
27,B,100,6,9,100,58
27,C,100,36,45,90,71
27,D,87,51,1,100,65
28,A,83,55,0,100,64
28,B,100,0,12,100,56
28,C,100,42,53,91,74
28,D,88,57,2,100,67
29,A,84,61,4,100,67
29,B,100,6,11,100,58
29,C,100,48,57,92,76
29,D,89,63,0,100,69
30,A,85,32,1,100,58
30,B,100,12,12,100,60
30,C,100,54,53,93,78
30,D,90,69,0,100,71
31,A,86,38,0,100,60
31,B,100,0,6,100,55
31,C,100,25,51,83,67
31,D,91,75,1,100,74
32,A,87,44,0,100,63
32,B,100,6,6,100,57
32,C,100,31,43,84,68
32,D,92,81,1,90,74
33,A,88,50,0,100,65
33,B,100,12,8,100,59
33,C,100,2,42,85,59
33,D,93,52,1,91,66
34,A,73,21,0,100,50
34,B,100,0,0,100,55
34,C,100,8,46,86,62
34,D,94,58,7,92,69
35,A,74,0,3,100,45
35,B,100,0,5,100,55
35,C,100,14,45,87,64
35,D,95,64,6,93,72
36,A,75,6,4,100,47
36,B,100,0,0,100,55
36,C,100,20,52,88,67
36,D,96,70,0,94,73
37,A,76,12,8,100,50
37,B,100,0,1,100,55
37,C,100,26,61,89,70
37,D,97,76,3,95,76
38,A,61,18,4,100,45
38,B,100,6,4,100,57
38,C,100,32,54,90,71
38,D,98,82,2,96,78
39,A,62,24,0,100,47
39,B,100,12,0,100,58
39,C,100,38,55,91,73
39,D,99,88,3,97,81
40,A,63,0,0,100,40
40,B,100,18,0,100,60
40,C,100,44,54,92,75
40,D,100,94,0,98,82
41,A,64,6,0,100,42
41,B,100,24,0,100,62
41,C,100,15,59,93,67
41,D,100,100,4,99,85
42,A,65,12,3,100,45
42,B,85,0,4,100,49
42,C,100,0,64,94,63
42,D,100,71,0,100,76
43,A,66,18,2,100,47
43,B,86,6,3,100,51
43,C,100,6,62,95,65
43,D,100,77,0,100,78
44,A,67,24,9,100,50
44,B,87,12,4,90,52
44,C,100,12,63,96,67
44,D,85,83,0,100,73
45,A,68,0,3,100,42
45,B,88,18,2,91,54
45,C,100,18,62,97,69
45,D,86,89,1,100,76
46,A,69,0,0,100,42
46,B,89,24,5,92,57
46,C,100,24,65,98,71
46,D,87,95,0,100,78
47,A,70,0,0,100,43
47,B,90,30,3,93,59
47,C,100,30,66,99,73
47,D,88,66,0,100,70
48,A,71,6,0,100,45
48,B,91,1,3,94,51
48,C,100,36,66,100,75
48,D,89,72,0,90,70
49,A,72,12,3,90,46
49,B,92,7,4,95,53
49,C,100,42,60,100,76
49,D,90,43,2,91,62
50,A,73,18,4,91,48
50,B,93,13,3,96,55
50,C,100,13,66,100,68
50,D,91,49,1,92,65
51,A,58,24,0,92,44
51,B,94,19,8,97,59
51,C,100,19,63,100,70
51,D,76,55,0,93,60
52,A,59,30,0,93,46
52,B,95,25,7,98,61
52,C,100,0,70,90,64
52,D,77,26,2,94,53
53,A,60,36,2,94,49
53,B,96,0,12,99,55
53,C,100,6,76,91,66
53,D,78,32,4,95,55
54,A,61,42,0,95,51
54,B,97,0,8,100,55
54,C,100,12,79,92,69
54,D,79,38,0,96,57
55,A,62,48,0,96,53
55,B,98,0,8,100,55
55,C,100,18,78,93,71
55,D,80,9,8,97,50
56,A,63,54,0,97,55
56,B,99,6,3,100,56
56,C,100,24,85,94,74
56,D,81,15,3,98,52
57,A,64,25,0,98,47
57,B,100,12,8,100,59
57,C,100,0,91,95,67
57,D,82,21,0,99,53
58,A,65,31,0,99,50
58,B,100,18,11,100,62
58,C,100,6,90,96,69
58,D,83,27,3,100,56
59,A,66,37,0,100,52
59,B,100,24,14,100,64
59,C,100,0,91,97,68
59,D,84,0,3,90,47
60,A,67,8,0,100,44
60,B,100,0,19,100,57
60,C,100,6,93,98,70
60,D,85,6,4,91,50
61,A,68,14,0,100,46
61,B,100,6,16,100,59
61,C,100,12,90,99,71
61,D,86,12,0,92,51
62,A,69,20,0,100,48
62,B,100,12,22,100,61
62,C,100,18,93,100,74
62,D,87,18,7,93,55
63,A,70,0,0,100,43
63,B,100,18,19,100,63
63,C,100,0,91,100,68
63,D,88,24,10,94,58
64,A,71,6,0,100,45
64,B,100,0,13,100,56
64,C,100,6,92,100,70
64,D,89,30,8,95,60
65,A,72,12,8,100,48
65,B,100,6,10,100,58
65,C,100,12,84,100,71
65,D,90,1,5,96,51
66,A,57,18,8,100,44
66,B,100,12,19,100,61
66,C,100,18,75,100,71
66,D,91,7,4,97,53
67,A,58,24,7,100,46
67,B,100,18,20,100,63
67,C,100,0,75,100,66
67,D,92,13,0,98,55
68,A,59,30,7,100,48
68,B,100,0,25,100,58
68,C,100,6,68,100,67
68,D,93,19,5,99,58
69,A,44,36,6,100,44
69,B,100,0,27,100,59
69,C,100,12,71,100,69
69,D,94,0,0,100,52
70,A,45,42,11,100,47
70,B,100,0,18,100,57
70,C,100,0,67,100,65
70,D,95,0,5,100,53
71,A,46,13,14,90,37
