round,validator,crypto,behavior,latency,sensor,effective
71,B,100,0,26,100,58
71,C,100,6,65,100,66
71,D,96,6,11,100,56
72,A,47,19,11,91,39
72,B,100,0,31,100,59
72,C,100,0,61,100,64
72,D,97,12,6,100,58
73,A,48,25,6,92,41
73,B,100,6,35,100,62
73,C,100,0,66,100,64
73,D,98,18,7,100,60
74,A,49,0,2,93,33
74,B,100,12,35,100,63
74,C,100,0,62,100,64
74,D,99,24,7,100,62
75,A,50,0,0,94,34
75,B,100,18,38,100,66
75,C,100,0,61,100,64
75,D,100,30,0,100,64
76,A,51,6,7,95,37
76,B,100,0,31,100,59
76,C,100,6,68,100,67
76,D,100,36,0,100,65
77,A,52,12,14,96,40
77,B,100,6,22,100,60
77,C,100,12,62,100,67
77,D,100,7,5,100,57
78,A,53,18,14,97,43
78,B,100,12,18,100,61
78,C,100,0,61,100,64
78,D,100,13,6,100,59
79,A,54,24,19,98,46
79,B,100,0,18,100,57
79,C,100,6,67,100,66
79,D,100,19,5,100,61
80,A,55,30,20,99,48
80,B,100,6,22,90,58
80,C,100,0,72,100,65
80,D,100,25,3,100,62
81,A,56,36,28,100,52
81,B,100,12,17,91,59
81,C,100,6,78,100,68
81,D,100,31,0,100,64
82,A,57,42,33,100,55
82,B,100,18,19,92,62
82,C,100,12,75,100,69
82,D,100,37,0,100,66
83,A,58,48,37,100,58
83,B,100,24,27,93,65
83,C,100,18,75,100,71
83,D,100,43,5,100,68
84,A,59,54,40,90,59
84,B,100,0,17,94,56
84,C,100,0,82,100,67
84,D,85,49,4,100,64
85,A,60,60,34,91,60
85,B,100,6,21,95,59
85,C,100,6,82,100,69
85,D,86,20,5,100,56
86,A,61,66,28,92,62
86,B,100,12,14,96,60
86,C,100,12,90,100,72
86,D,87,26,8,100,58
87,A,62,72,24,93,63
87,B,100,18,15,86,60
87,C,100,18,88,100,73
87,D,88,0,14,100,52
88,A,63,78,27,94,66
88,B,100,24,13,87,62
88,C,100,24,93,100,76
88,D,89,6,9,100,53
89,A,64,84,20,95,68
89,B,100,30,11,88,63
89,C,100,30,99,100,78
89,D,90,12,15,100,56
90,A,65,55,13,96,58
90,B,100,1,6,89,54
90,C,85,36,100,100,74
90,D,91,18,18,100,59
91,A,66,61,7,97,60
91,B,100,0,12,90,55
91,C,86,42,100,100,77
91,D,92,0,17,100,54
92,A,67,67,7,98,62
92,B,100,0,15,91,55
92,C,87,48,100,100,79
92,D,93,6,14,100,56
93,A,68,38,7,99,54
93,B,100,0,19,92,56
93,C,88,54,100,100,81
93,D,94,0,14,100,54
94,A,69,44,9,100,57
94,B,100,6,27,93,59
94,C,89,60,98,100,83
94,D,95,6,9,100,56
95,A,70,50,10,100,59
95,B,100,12,26,94,61
95,C,90,66,98,100,85
95,D,96,12,13,100,58
96,A,71,21,11,100,51
96,B,100,0,27,95,58
96,C,91,72,100,100,88
96,D,97,18,11,100,60
97,A,72,27,4,100,52
97,B,100,6,28,96,60
97,C,92,78,99,100,90
97,D,98,24,12,100,63
98,A,73,0,0,100,44
98,B,100,12,27,97,62
98,C,93,49,100,100,81
98,D,99,0,12,100,56
99,A,74,6,2,100,46
99,B,100,18,28,98,64
99,C,94,55,100,100,84
99,D,100,6,16,100,59
100,A,75,12,0,100,48
100,B,100,0,33,88,58
100,C,95,61,100,100,86
100,D,100,12,19,100,61
101,A,76,18,4,100,51
101,B,100,6,35,89,60
101,C,96,67,98,100,88
101,D,100,0,16,100,57
102,A,77,24,11,100,54
102,B,100,12,38,90,62
102,C,97,38,95,100,79
102,D,100,6,16,100,59
103,A,78,30,2,100,55
103,B,100,18,41,91,65
103,C,98,44,96,100,81
103,D,100,0,12,100,56
104,A,79,36,7,100,58
104,B,100,0,49,81,59
104,C,99,15,96,100,73
104,D,100,0,15,100,57
105,A,80,7,5,100,49
105,B,100,6,47,82,61
105,C,100,21,98,100,76
105,D,100,6,21,100,59
106,A,81,13,3,100,51
106,B,85,12,56,83,58
106,C,100,27,95,100,77
106,D,100,12,24,100,62
107,A,82,19,6,100,54
107,B,86,0,64,84,56
107,C,100,33,93,100,78
107,D,100,18,22,100,63
108,A,83,25,5,100,56
108,B,87,6,69,85,59
108,C,100,39,94,100,80
108,D,100,24,16,100,64
109,A,68,31,0,100,51
109,B,88,12,73,86,62
109,C,100,45,93,100,82
109,D,100,30,10,100,65
110,A,69,37,0,100,53
110,B,89,0,74,87,59
110,C,100,51,89,100,83
110,D,100,36,18,100,68
111,A,70,43,0,90,54
111,B,90,0,75,88,60
111,C,100,57,85,100,84
111,D,100,42,23,100,71
112,A,71,14,1,91,46
112,B,91,6,83,89,64
112,C,100,63,86,100,86
112,D,100,48,17,100,71
113,A,72,20,0,92,48
113,B,92,12,89,90,67
113,C,100,69,90,100,89
113,D,100,19,14,100,62
114,A,73,26,1,93,51
114,B,93,0,88,91,64
114,C,100,75,96,100,91
114,D,100,25,13,100,64
115,A,74,0,0,94,43
115,B,94,6,85,92,65
115,C,100,81,99,100,94
115,D,100,0,14,100,57
116,A,75,6,8,95,47
116,B,95,12,88,93,68
116,C,100,87,96,100,95
116,D,100,6,13,100,58
117,A,76,12,8,96,49
117,B,96,18,93,94,71
117,C,100,93,95,100,97
117,D,100,12,12,100,60
118,A,61,18,10,97,45
118,B,97,24,92,95,74
118,C,100,99,96,100,99
118,D,100,18,10,100,61
119,A,62,24,10,98,48
119,B,98,30,93,96,76
119,C,100,100,96,100,99
119,D,100,0,11,100,56
120,A,63,0,3,99,40
120,B,99,36,95,97,79
120,C,85,100,100,100,94
120,D,100,6,11,100,58
121,A,64,6,1,100,42
121,B,100,42,100,98,82
121,C,86,100,99,100,94
121,D,100,12,17,100,61
122,A,65,0,0,100,41
122,B,100,48,100,99,84
122,C,87,100,97,100,94
122,D,100,18,16,100,62
123,A,66,6,3,100,43
123,B,100,54,100,100,86
123,C,88,100,95,100,94
123,D,100,24,25,100,65
124,A,67,12,3,100,45
124,B,100,25,96,100,76
124,C,89,100,100,100,95
124,D,100,30,18,100,66
125,A,68,18,4,100,48
125,B,100,31,97,100,78
125,C,90,100,100,100,96
125,D,100,1,24,100,58
126,A,69,24,7,100,50
126,B,100,2,94,100,69
126,C,91,100,98,100,96
126,D,100,0,31,100,59
127,A,70,30,5,100,52
127,B,100,8,95,100,71
127,C,92,100,96,100,96
127,D,100,6,32,100,61
128,A,71,36,10,100,55
128,B,100,14,85,100,71
128,C,93,100,99,100,97
128,D,100,12,27,100,62
129,A,72,42,9,100,57
129,B,100,20,78,100,72
129,C,94,100,100,100,97
129,D,100,18,27,100,64
130,A,73,13,9,100,49
130,B,100,26,80,100,74
130,C,79,100,100,100,91
130,D,100,24,27,100,66
131,A,74,19,8,100,51
131,B,100,32,81,100,76
131,C,80,100,100,100,92
131,D,100,0,24,100,58
132,A,75,25,5,100,53
132,B,100,3,79,100,67
132,C,81,100,100,100,92
132,D,100,6,23,90,58
133,A,76,31,5,100,55
133,B,100,9,75,100,68
133,C,82,100,100,100,92
133,D,100,0,25,91,57
134,A,77,37,7,100,57
134,B,100,15,71,100,70
134,C,83,100,100,100,93
134,D,100,6,20,92,58
135,A,78,43,12,100,60
135,B,100,21,74,100,72
135,C,84,100,100,100,93
135,D,100,12,22,93,60
136,A,79,49,11,100,62
136,B,100,27,72,100,73
136,C,69,71,97,100,78
136,D,100,18,24,94,63
137,A,80,20,11,100,54
137,B,100,33,72,100,75
137,C,70,77,97,100,80
137,D,100,24,27,95,65
138,A,81,26,12,100,57
138,B,100,39,66,100,76
138,C,71,48,94,100,71
138,D,100,0,28,96,58
139,A,82,32,7,100,58
139,B,100,45,63,100,77
139,C,72,54,95,100,74
139,D,100,6,33,97,61
140,A,83,38,2,100,59
140,B,100,51,57,90,77
140,C,73,60,88,100,75
140,D,100,12,41,98,64
141,A,84,44,0,100,61
141,B,100,57,49,91,78
141,C,74,66,91,100,78
141,D,100,0,46,99,61
142,A,85,50,6,100,64
142,B,100,28,50,81,68
142,C,75,37,88,100,69
142,D,100,0,44,100,61
143,A,86,56,7,100,67
143,B,100,34,48,82,69
143,C,76,43,87,100,71
143,D,100,6,40,100,62
144,A,87,62,12,100,70
144,B,100,40,44,83,71
144,C,77,49,82,100,72
144,D,100,0,44,100,61
145,A,88,68,15,100,72
145,B,100,11,45,84,62
145,C,78,20,77,100,63
145,D,100,6,42,90,61
146,A,89,74,20,100,75
146,B,100,17,52,85,65
146,C,79,0,73,100,57
146,D,100,0,38,91,59
147,A,90,80,20,100,78
147,B,100,0,53,86,60
147,C,80,6,69,100,59
147,D,100,6,34,92,60
148,A,91,86,13,100,79
148,B,100,6,56,87,63
148,C,81,12,76,100,62
148,D,100,0,35,93,59
149,A,92,57,13,90,69
149,B,85,12,57,88,59
149,C,82,18,76,100,64
149,D,100,0,33,94,59
150,A,93,28,11,91,60
150,B,86,0,61,89,56
150,C,83,24,77,100,66
150,D,100,6,29,95,60
151,A,94,34,5,92,62
151,B,87,6,63,90,59
151,C,84,30,76,100,69
151,D,100,12,20,96,61
152,A,95,40,3,93,64
152,B,88,0,63,91,58
152,C,85,36,75,100,71
152,D,100,18,29,97,64
153,A,96,46,1,94,66
153,B,89,6,60,92,60
153,C,86,42,67,100,72
153,D,100,24,37,98,67
154,A,97,52,1,84,67
154,B,90,0,61,93,59
154,C,87,48,67,100,74
154,D,100,0,38,99,60
155,A,98,58,8,85,70
155,B,91,0,55,94,58
155,C,88,19,73,100,66
155,D,100,6,44,100,63
156,A,99,64,1,86,71
156,B,92,6,64,84,60
156,C,73,25,69,100,62
156,D,100,12,44,100,65
157,A,100,70,0,87,74
157,B,93,12,58,85,62
157,C,74,31,68,90,62
157,D,100,18,40,100,66
158,A,100,41,0,88,65
158,B,94,18,57,86,64
158,C,75,37,68,91,64
158,D,100,0,42,100,61
159,A,100,47,0,89,67
159,B,95,24,61,87,67
159,C,76,43,72,92,67
159,D,100,0,45,100,61
160,A,100,18,1,90,59
160,B,96,0,52,88,59
160,C,77,14,73,93,59
160,D,100,6,42,100,63
161,A,100,0,1,91,53
161,B,97,6,50,89,61
161,C,78,20,75,94,62
161,D,100,12,36,100,64
162,A,100,6,1,92,55
162,B,98,12,54,90,64
162,C,79,0,71,95,56
162,D,100,0,32,100,59
163,A,100,12,1,93,57
163,B,99,18,57,80,65
163,C,80,6,70,96,58
163,D,100,6,35,100,62
164,A,100,18,4,94,60
164,B,100,24,51,81,67
164,C,81,0,72,97,57
164,D,100,12,26,100,62
165,A,100,24,6,95,62
165,B,100,30,46,82,68
165,C,82,0,72,98,58
165,D,100,18,17,100,62
166,A,100,30,0,96,63
166,B,100,36,41,83,69
166,C,83,0,70,99,58
166,D,85,24,10,100,57
167,A,100,36,0,97,65
167,B,100,7,45,84,61
167,C,84,0,69,100,58
167,D,86,30,9,100,59
168,A,100,42,0,98,67
168,B,85,13,49,85,58
168,C,85,6,65,100,60
168,D,87,36,10,100,62
169,A,100,48,5,99,70
169,B,86,0,51,86,54
169,C,86,0,70,100,59
169,D,88,42,11,100,64
170,A,100,19,8,100,61
170,B,87,6,56,87,58
170,C,87,6,64,100,61
170,D,89,48,3,100,65
171,A,100,25,0,90,61
171,B,88,12,53,88,59
171,C,88,12,67,100,63
171,D,90,54,0,100,67
172,A,100,31,0,91,62
172,B,89,18,44,89,60
172,C,89,18,66,100,65
172,D,91,25,0,100,58
173,A,100,37,0,92,64
173,B,90,24,50,90,64
173,C,90,0,62,100,60
173,D,92,31,0,100,61
174,A,100,43,0,93,66
174,B,91,30,53,91,67
174,C,91,6,63,100,62
174,D,93,37,0,100,63
175,A,100,49,0,94,68
175,B,92,36,47,92,68
175,C,92,12,60,100,64
175,D,94,43,0,100,65
176,A,100,55,0,95,70
176,B,93,42,42,93,70
176,C,93,0,61,100,61
176,D,95,14,0,100,57
177,A,100,61,3,96,73
177,B,94,48,38,94,71
177,C,94,6,58,100,63
177,D,96,0,3,100,53
178,A,100,67,1,97,74
178,B,95,54,36,95,73
178,C,95,12,53,100,64
178,D,97,6,3,100,56
179,A,100,73,9,98,77
179,B,96,60,40,96,76
179,C,96,0,47,100,60
179,D,98,12,0,100,57
180,A,100,44,9,99,69
180,B,97,66,44,97,79
180,C,97,6,48,100,62
180,D,99,18,6,100,60
181,A,100,50,3,100,70
181,B,98,72,42,98,81
181,C,98,12,48,100,65
181,D,100,24,7,100,63
182,A,100,56,2,100,72
182,B,83,78,50,99,78
182,C,99,18,48,100,67
182,D,100,30,3,100,64
183,A,100,62,6,100,74
183,B,84,49,42,100,69
183,C,100,24,41,100,68
183,D,100,1,1,100,55
184,A,100,68,1,100,75
184,B,85,55,37,100,71
184,C,100,30,49,100,71
184,D,100,7,2,100,57
185,A,100,74,1,100,77
185,B,86,26,36,100,62
185,C,100,1,44,100,61
185,D,100,0,7,100,56
186,A,100,80,0,100,79
186,B,87,32,37,100,64
186,C,100,0,47,100,62
186,D,100,6,12,100,58
187,A,100,51,4,100,70
187,B,88,3,36,100,56
187,C,100,6,53,100,64
187,D,100,12,13,100,60
188,A,100,57,6,100,73
188,B,89,9,29,100,57
188,C,100,0,58,100,63
188,D,100,18,11,100,62
189,A,100,63,13,100,75
189,B,90,15,26,100,59
189,C,100,6,66,100,66
189,D,100,24,6,100,63
190,A,100,34,17,100,67
190,B,91,21,20,100,60
190,C,100,12,68,100,68
190,D,100,30,12,100,65
191,A,100,5,11,100,58
191,B,92,27,14,100,62
191,C,100,18,66,100,70
191,D,100,36,17,100,68
192,A,100,0,11,100,56
192,B,93,33,20,100,65
192,C,100,0,70,100,65
192,D,100,42,21,100,70
193,A,100,6,8,100,58
193,B,94,39,21,100,67
193,C,100,6,79,100,68
193,D,100,48,16,100,71
194,A,100,12,4,100,59
194,B,95,45,12,100,68
194,C,100,0,81,100,67
194,D,100,19,11,100,62
195,A,100,0,0,100,55
195,B,96,51,17,100,71
195,C,100,6,79,100,68
195,D,100,25,8,100,63
196,A,100,0,9,100,56
196,B,97,57,12,100,72
196,C,100,12,88,100,71
196,D,100,0,9,100,56
197,A,100,6,8,100,58
197,B,98,63,7,100,74
197,C,100,0,94,100,69
197,D,100,6,8,100,58
198,A,100,12,9,100,59
198,B,99,69,5,90,74
198,C,100,0,89,100,68
198,D,100,12,6,100,59
199,A,100,18,14,100,62
199,B,100,75,1,91,76
199,C,100,6,89,100,70
199,D,100,18,0,100,60
200,A,100,0,10,100,56
200,B,100,81,5,92,78
200,C,100,12,86,100,71
200,D,100,24,4,100,62
