round,validator,crypto,behavior,latency,sensor,effective
50,C,100,12,29,100,62
50,D,100,77,4,100,78
51,A,90,6,19,90,54
51,B,82,6,3,90,48
51,C,100,18,33,100,65
51,D,100,83,0,100,79
52,A,91,12,19,91,56
52,B,83,0,7,91,47
52,C,100,0,33,100,59
52,D,100,54,9,100,72
53,A,92,18,11,92,57
53,B,84,6,8,92,50
53,C,100,6,34,100,61
53,D,100,60,12,100,74
54,A,93,24,9,93,59
54,B,85,0,0,93,47
54,C,100,0,32,100,59
54,D,100,66,12,100,76
55,A,94,30,17,94,63
55,B,86,0,0,94,48
55,C,100,6,31,100,61
55,D,100,72,11,100,78
56,A,95,36,14,95,65
56,B,87,6,1,95,51
56,C,100,0,28,100,59
56,D,100,43,12,100,69
57,A,96,42,17,96,67
57,B,88,12,4,96,53
57,C,100,6,29,100,61
57,D,100,14,14,100,61
58,A,97,48,15,97,70
58,B,89,18,2,97,55
58,C,85,12,27,100,56
58,D,100,20,15,100,63
59,A,98,54,21,98,73
59,B,90,24,1,98,58
59,C,86,18,19,90,56
59,D,100,26,10,100,64
60,A,99,60,19,99,75
60,B,91,0,0,99,51
60,C,87,24,16,91,58
60,D,100,32,17,100,67
61,A,100,31,13,100,66
61,B,92,6,0,100,53
61,C,88,0,16,92,51
61,D,100,38,15,100,68
62,A,100,37,10,100,67
62,B,93,12,0,100,55
62,C,89,6,15,93,53
62,D,100,9,17,100,60
63,A,100,43,7,100,68
63,B,94,0,0,100,52
63,C,90,12,19,83,54
63,D,100,0,17,100,57
64,A,100,49,10,100,71
64,B,95,0,2,100,53
64,C,91,18,23,84,57
64,D,100,6,25,100,60
65,A,100,55,8,100,72
65,B,96,0,6,100,54
65,C,92,24,26,85,60
65,D,100,12,24,100,62
66,A,100,26,8,100,64
66,B,97,6,6,100,56
66,C,93,30,30,86,63
66,D,100,18,30,100,64
67,A,100,32,10,100,66
67,B,98,0,8,100,55
67,C,94,1,23,76,52
67,D,100,24,31,100,66
68,A,100,38,9,100,67
68,B,99,0,6,100,55
68,C,95,7,25,77,55
68,D,100,30,25,100,67
69,A,100,44,16,100,70
69,B,100,6,5,100,57
69,C,96,0,24,78,53
69,D,100,1,20,100,58
70,A,100,50,9,100,71
70,B,100,12,5,100,59
70,C,97,6,29,79,56
70,D,100,0,11,100,56
71,A,100,56,10,100,73
71,B,100,0,6,100,55
71,C,98,12,22,69,56
71,D,100,6,11,100,58
72,A,100,27,10,100,64
72,B,100,6,5,100,57
72,C,99,0,21,59,51
72,D,100,0,17,100,57
73,A,100,33,12,100,66
73,B,100,12,6,100,59
73,C,100,0,21,60,52
73,D,100,6,12,90,57
74,A,100,39,13,100,68
74,B,100,18,9,100,61
74,C,100,6,15,61,53
74,D,100,12,13,91,59
75,A,100,10,9,100,59
75,B,100,0,6,100,55
75,C,100,12,21,62,56
75,D,100,18,12,92,61
76,A,100,0,10,100,56
76,B,100,6,13,100,58
76,C,100,18,20,52,56
76,D,100,24,7,93,62
77,A,100,0,13,100,56
77,B,100,12,19,100,61
77,C,100,24,15,53,57
77,D,100,30,8,94,64
78,A,100,6,12,100,58
78,B,100,18,26,100,64
78,C,100,30,18,54,59
78,D,100,36,5,95,65
79,A,100,0,12,100,56
79,B,100,24,34,90,65
79,C,100,36,15,55,61
79,D,100,42,13,96,68
80,A,100,0,8,100,56
80,B,100,30,29,91,67
80,C,100,42,9,56,62
80,D,100,48,20,97,71
81,A,100,0,14,100,57
81,B,100,1,30,92,58
81,C,100,48,10,57,64
81,D,100,54,25,98,74
82,A,100,6,9,100,58
82,B,100,7,25,93,59
82,C,100,54,12,58,66
82,D,100,60,24,99,76
83,A,100,0,9,100,56
83,B,100,13,25,94,61
83,C,100,60,4,59,67
83,D,100,66,17,100,77
84,A,100,6,15,100,59
84,B,100,19,26,95,63
84,C,100,66,3,60,69
84,D,100,72,20,100,79
