slash,recover,successes
10,1,88
10,2,141
10,3,200
10,4,200
10,5,200
10,6,200
15,1,68
15,2,83
15,3,157
15,4,199
15,5,200
15,6,200
20,1,33
20,2,23
20,3,81
20,4,122
20,5,172
20,6,199
25,1,21
25,2,61
25,3,67
25,4,81
25,5,152
25,6,166
30,1,70
30,2,50
30,3,92
30,4,96
30,5,132
30,6,129
35,1,45
35,2,82
35,3,45
35,4,50
35,5,111
35,6,125
