slash,recover,successes
10,1,145
10,2,136
10,3,106
10,4,139
10,5,132
10,6,137
15,1,120
15,2,136
15,3,154
15,4,162
15,5,166
15,6,143
20,1,89
20,2,187
20,3,144
20,4,131
20,5,111
20,6,185
25,1,186
25,2,97
25,3,152
25,4,158
25,5,114
25,6,142
30,1,119
30,2,119
30,3,108
30,4,109
30,5,126
30,6,104
35,1,135
35,2,142
35,3,150
35,4,134
35,5,143
35,6,100
