slash,recover,successes
10,1,75
10,2,137
10,3,200
10,4,200
10,5,200
10,6,200
15,1,53
15,2,81
15,3,123
15,4,200
15,5,200
15,6,200
20,1,77
20,2,97
20,3,158
20,4,191
20,5,196
20,6,200
25,1,87
25,2,75
25,3,99
25,4,164
25,5,176
25,6,199
30,1,84
30,2,126
30,3,133
30,4,140
30,5,161
30,6,143
35,1,148
35,2,103
35,3,125
35,4,86
35,5,118
35,6,198
